m/z,Intensity
221.91818,883.1
221.99733,121042.9
222.00192,7838.3
222.00677,11368.9
222.12007,620.4
222.14272,373.7
222.15553,535.7
222.18249,153514.2
222.33383,1152.5
222.3634,495.3
222.38438,456.1
222.53867,309.7
222.56676,341.7
222.68379,327.8
222.78687,419.8
222.99185,923.3
222.99742,1335.7
223.00497,630
223.02096,1239
223.06326,3228.1
223.07266,861.8
223.09347,2969.5
223.09576,370.7
223.10892,373.6
223.11525,320.2
223.13024,4484.3
223.16902,5282.3
223.18567,5458.6
223.25136,535.2
223.40469,633
223.48538,1259.9
223.49536,560.2
223.60765,773.9
223.95517,351.7
223.98004,18999.7
223.9902,280
224.02588,739.6
224.12773,4706.3
224.1335,528.3
224.16414,2574.7
224.17174,429
224.17468,513.5
224.19796,285369.5
224.20172,270.1
224.23678,79926.9
224.34047,830.2
224.42555,493.3
224.56136,350.5
224.61172,722.5
224.62758,652.9
224.67691,271.9
224.78352,456.7
224.91437,790.1
224.93044,649.1
225.04311,17540.9
225.09062,519.6
225.11015,1549.4
225.14814,49715.3
225.18196,5956.7
225.18443,2869.8
225.20134,12712.4
225.2211,500.7
225.23945,2271.5
225.28529,549.4
225.33643,792.6
225.33885,524.2
225.5072,589.5
225.58852,366.1
225.83643,441.5
225.91748,424.8
225.99234,667.9
226.02931,355.8
226.06514,6394
226.10376,851.6
226.15106,500.6
226.17977,50191
226.21596,424.7
226.23312,533.4
226.40443,532.6
226.85655,403.9
226.91525,476.1
226.95793,306.1
226.98642,439.1
227.01628,1068.1
227.02451,553
227.06049,518.3
227.06778,1545
227.09653,1318.3
227.10379,63665.8
227.12707,3949.6
227.16371,2222.7
227.1828,250.6
227.20019,4187.5
227.2112,495.5
227.2187,304.4
227.40942,304.5
227.5,388.4
227.6503,395.4
227.96924,834.6
227.97472,1214.7
227.98469,2883.8
227.99226,498.3
228.00809,9511.4
228.04447,9541.5
228.06415,546.2
228.09222,798.5
228.12277,42343.3
228.14392,364.6
228.1592,1040.1
228.19003,850.9
228.1954,121340.1
228.20117,314.9
228.23171,47765.3
228.26391,1588.7
228.26811,706807.3
228.27319,346.6
228.29558,503.6
228.40802,916.6
228.41096,867.5
228.64799,953.2
228.72598,344.7
228.77165,1024.1
228.78838,456.2
228.97844,1309.9
229.00322,19601.6
229.03833,1517.4
229.06392,502.1
229.0676,495.3
229.07831,269.8
229.08324,101852.7
229.11973,25713.1
229.12618,922.6
229.14315,2217.5
229.17946,1268.4
