m/z,Intensity
102.7182,2720.2
102.75805,2036.5
103.05186,2284.7
103.06071,1659.1
103.08994,2258.9
103.22196,2078
103.38846,1777.4
103.43568,2899.4
103.44913,2385.7
103.58572,1827.3
103.5863,3556
103.62743,2076.9
103.68026,2692.3
103.79897,2083.4
104.05836,2280.8
104.07089,31809.7
104.10728,4929.7
104.43964,1880.6
104.47855,2266.5
104.57918,2114.8
104.58405,1988.5
104.95912,2152.6
104.99254,157842.8
105.00095,3009.6
105.02042,3210.4
105.10239,3130.4
105.15166,1739.9
105.26766,3085.2
105.91547,3292.1
105.94071,2409.1
106.02689,2154.6
106.08647,5286.8
106.19268,2031.8
106.27488,2201.5
106.36581,2008.2
106.43777,2259
106.50252,1859.4
106.59953,2959.5
106.60269,2203.3
106.687,2133.2
106.8857,2089.5
106.96815,2321.1
107.18256,1878.6
107.2966,2226.3
107.37627,2291.6
107.52914,1914.7
107.63178,5138.9
107.67139,2854.9
107.90614,2236.9
107.94186,2110.1
107.98544,2798.8
108.1917,2034.7
108.33136,1832
108.48338,2170.5
108.62035,1654.9
108.9381,1921.6
109.22752,4754
109.32938,2143.1
109.37975,2454
109.41689,2133.7
109.43364,2859.3
109.5916,2034.9
109.64658,1950.4
109.75863,5707.1
110.00165,2197.5
110.02213,2371.9
110.02652,2073.2
110.24862,3712.1
110.31456,2650.7
110.49732,2673.4
110.51659,2283.2
110.5982,2815.5
110.64099,2030.1
110.71453,2305.9
110.81286,3209.7
110.84659,2056.3
110.88129,3173
111.04183,13219.2
111.10921,2084.7
111.20229,2334.6
111.35014,2373
111.51827,2300.5
111.74307,2246.7
111.84088,4243.2
111.93192,3136.3
111.94232,2428.2
111.98458,2725.7
112.0606,2734
112.50478,2631.8
112.57487,1942.3
112.63261,2378.5
112.68349,2948
112.71175,1905.4
112.95816,1819
112.95986,2056.5
113.02105,9122.3
113.08471,2117.1
113.17055,2072.8
113.20048,2351.8
113.26429,2053
113.36755,1969.9
113.4763,3641.8
113.51453,2425.2
113.57433,2151.6
113.64969,2589.9
113.76696,3423.9
114.05446,2184
114.09158,1871.5
114.42847,2277.7
114.55364,2143.6
114.6202,2565.2
114.6507,2823
114.73987,2477.7
114.80763,2026.6
114.87845,2318.7
114.89256,4514.1
115.06243,2190
115.07552,2781.4
115.1385,2545.5
115.2024,2002
115.22356,2500
115.29279,2503.4
115.61016,1663
115.88976,1837.1
115.89807,2244.9
116.07075,77741.4
116.35277,2032.9
116.45463,2669
116.54485,1653.7
116.68333,1796.3
116.69183,3752.4
116.7028,2157.7
116.7349,2895.6
116.90503,3188.1
117.07256,2669.6
117.60641,1710.1
117.72053,2540.7
117.92217,2188.2
118.04266,3254.2
118.08629,8354.3
118.12263,7199.7
118.31153,2653.7
118.57502,2655.8
118.79693,2035.5
118.81775,2469.9
119.08176,2219.3
119.13814,2143.5
119.37318,2852.1
119.71752,2116.9
119.80333,2177.9
