m/z,Intensity
916.22162,26.5
916.28595,34.4
916.45435,9.9
916.90977,6946.5
916.92859,9.7
917.0517,11.4
917.18565,135.5
917.23004,12.1
917.50067,7.6
917.60498,10.6
917.89315,101.4
917.93184,5952.3
918.01514,9.4
918.17341,610.8
918.19281,10.6
918.8926,53.1
918.93378,2572.3
918.97778,9.3
919.17688,260.8
919.19458,10.5
919.28711,11.9
919.31996,22.2
919.49866,11.5
919.51843,15
919.56439,10.4
919.59479,9
919.75342,9.2
919.84454,9.8
919.90985,54.3
919.93312,245.2
919.99854,12.1
920.17779,52.9
920.35605,939.5
920.46657,31.7
920.91461,56.5
