Formula,m/z
Cu1O1N5C3H8,193.00157
Cu1O2N2C5H10,193.00157
Cu1O1N4C4H10,193.01458
Cu1O2N5C2H5,193.97386
Cu1O3N2C4H7,193.97386
Cu1O2N5C2H5,193.97444
Cu1O3N2C4H7,193.97444
Cu1O2N3C4H9,193.99948
Cu1O1N5C3H9,194.00985
Cu1O2N2C6,194.92361
Cu1O2N2C6,194.92439
Cu1O2N2C6,194.92482
Cu1O2N2C6,194.92532
Cu1O2N2C6,194.92591
Cu1O2N2C6,194.92669
Cu1O1N4C5,194.93469
Cu1O1N4C5,194.93671
Cu1O2N1C7H2,194.93671
Cu1O1N4C5,194.93718
Cu1O2N1C7H2,194.93718
Cu1O3N4C2H4,194.95838
Cu1O1N2C7H4,194.96019
Cu1O2N3C4H10,195.00507
Cu1O2N3C4H10,195.00558
Cu1O2N3C4H10,195.00682
Cu1O2N2C6H1,195.93192
Cu1O2N4C3H9,196.00051
Cu1O2N4C3H9,196.00095
Cu1O2N4C3H9,196.00194
Cu1O1N3C6H4,196.96416
Cu1O1N3C6H4,196.96477
Cu1O1N2C7H6,196.97645
Cu1O3N3C3H8,196.98566
Cu1O1N1C8H8,196.98846
Cu1O2N5C2H8,196.99498
Cu1O2N4C3H10,197.00948
Cu1O2N4C3H10,197.01084
Cu1O1N5C4H1,197.94711
Cu1O2N2C6H3,197.94711
Cu1O1N3C6H5,197.97162
Cu1O1N3C6H5,197.9738
Cu1O3N3C3H9,197.99393
Cu1O2N5C2H9,198.00327
Cu1O2N5C2H9,198.00472
Cu1O3N2C5,198.91936
Cu1O3N2C5,198.91994
Cu1O1N5C4H2,198.95574
Cu1O2N2C6H4,198.95574
Cu1O3N4C2H8,198.98881
Cu1O1N2C7H8,198.99212
Cu1O3N3C3H10,198.99994
Cu1O1N5C4H3,199.96176
Cu1O3N5C1H7,199.98408
Cu1O3N4C2H9,199.99541
Cu1O1N2C7H9,199.99895
Cu1O1N2C7H9,200.00257
Cu1O2N5C3,200.93564
Cu1O3N2C5H2,200.93564
Cu1O3N2C5H2,200.93681
Cu1O2N4C4H2,200.94543
Cu1O1N5C4H4,200.97128
Cu1O2N2C6H6,200.97128
Cu1O3N5C1H8,200.98986
Cu1O1N3C6H8,200.99704
Cu1O1N3C6H8,200.99756
Cu1O3N4C2H10,201.0034
Cu1O3N4C2H10,201.00432
Cu1O3N4C2H10,201.00491
Cu1O1N2C7H10,201.00768
Cu1O1N2C7H10,201.00816
Cu1O1N5C4H5,201.97942
Cu1O2N2C6H7,201.97942
Cu1O3N5C1H9,201.99974
Cu1O1N3C6H9,202.00517
Cu1O1N2C8,202.92902
Cu1O3N3C4H2,202.93796
Cu1O3N3C4H2,202.93985
Cu1O3N3C4H2,202.94038
Cu1O1N1C9H2,202.94173
Cu1O1N1C9H2,202.94335
Cu1O1N1C9H2,202.94393
Cu1O2N4C4H4,202.96049
Cu1O2N3C5H6,202.97421
Cu1O1N4C5H8,202.99959
Cu1O2N1C7H10,202.99959
Cu1O2N1C7H10,203.00215
Cu1O1N3C6H10,203.01109
Cu1O1N3C6H10,203.01223
Cu1O1N3C6H10,203.01276
Cu1O3N3C4H3,203.94509
Cu1O1N1C9H3,203.95044
Cu1O1N4C5H9,204.00705
Cu1O1N2C8H2,204.9459
Cu1O2N4C4H6,204.97791
Cu1O3N1C6H8,204.97791
Cu1O2N4C4H6,204.97911
Cu1O3N1C6H8,204.97911
Cu1O2N3C5H8,204.98891
