m/z,Intensity,Formula,Neutral Mass
169.95346,20.2,Cu1O4N1C2H5,169.95146
169.97372,18.6,Cu1O2N5H5,169.97392
170.8799,22.6,Cu2O1N1C1H3,170.88067
170.90892,17.3,Cu1O5N2,170.91029
170.9094,68.6,Cu1O5N2,170.91029
170.91084,28.1,Cu1O5N2,170.91029
170.9474,10.4,Cu1O1N3C4H2,170.94938
170.9474,10.4,Cu1O4N2C1H4,170.9467
170.95992,25.1,Cu1O1N2C5H4,170.96197
170.95992,25.1,Cu1O3N4H4,170.95793
170.96384,22.8,Cu1O1N2C5H4,170.96197
171.97121,51.9,Cu1O1N2C5H5,171.9698
172.92961,23.2,Cu1O2N3C3,172.92863
172.93954,22.0,Cu1O1N5C2,172.93986
172.93954,22.0,Cu1O2N2C4H2,172.94122
172.93954,22.0,Cu1O5N1C1H4,172.93854
172.96342,39.2,Cu1O1N3C4H4,172.96504
173.94312,19.7,Cu1O5N1C1H5,173.94637
173.97212,18.1,Cu1O1N3C4H5,173.97287
174.84901,20.5,Cu2O3H1,174.85176
174.93779,9.9,Cu1O5N2H4,174.94161
175.88196,8.3,Cu2O2N1H4,175.88341
175.88309,10.1,Cu2O2N1H4,175.88341
175.8846,20.3,Cu2O2N1H4,175.88341
175.92662,9.6,Cu1O3N2C3H1,175.9283
175.92662,9.6,Cu1O6N1H3,175.92562
175.96165,15.6,Cu1O1N5C2H3,175.96335
175.96165,15.6,Cu1O2N2C4H5,175.96471
175.96213,14.5,Cu1O1N5C2H3,175.96335
175.96213,14.5,Cu1O2N2C4H5,175.96471
175.97569,18.2,Cu1O1N4C3H5,175.97594
176.86322,17.4,Cu2O3H3,176.86742
176.86409,10.3,Cu2O3H3,176.86742
176.8651,18.7,Cu2O3H3,176.86742
176.86892,38.6,Cu2O3H3,176.86742
176.91298,16.7,Cu1O4N1C3,176.91231
176.94167,16.2,Cu1O1N7,176.946
176.94779,849.7,Cu1O1N7,176.946
176.94779,849.7,Cu1O2N4C2H2,176.94736
176.94779,849.7,Cu1O3N1C4H4,176.94872
176.95981,24.5,Cu1O1N6C1H2,176.95859
176.95981,24.5,Cu1O2N3C3H4,176.95995
176.961,17.7,Cu1O1N6C1H2,176.95859
176.961,17.7,Cu1O2N3C3H4,176.95995
176.97084,15.1,Cu1O1N5C2H4,176.97118
177.92058,22.3,Cu1O4N1C3H1,177.92014
177.96269,22.6,Cu1O1N6C1H3,177.96642
178.88128,260.8,Cu2O3H5,178.88308
178.911,24.5,Cu1O4N2C2,178.91538
178.95088,182.1,Cu1O2N5C1H2,178.95043
178.95088,182.1,Cu1O3N2C3H4,178.95179
178.96346,8658.8,Cu1O1N7H2,178.96166
178.96346,8658.8,Cu1O2N4C2H4,178.96302
178.96436,21.9,Cu1O2N4C2H4,178.96302
179.92482,8.4,Cu1O4N2C2H1,179.92321
179.93135,20.8,Cu1O3N4C1H1,179.93444
179.93135,20.8,Cu1O4N1C3H3,179.9358
179.93135,20.8,Cu1O7H5,179.93312
179.93188,20.4,Cu1O3N4C1H1,179.93444
179.93188,20.4,Cu1O4N1C3H3,179.9358
179.93188,20.4,Cu1O7H5,179.93312
179.95857,122.6,Cu1O2N5C1H3,179.95826
179.95857,122.6,Cu1O3N2C3H5,179.95962
179.95897,23.0,Cu1O2N5C1H3,179.95826
179.95897,23.0,Cu1O3N2C3H5,179.95962
179.96106,8.0,Cu1O3N2C3H5,179.95962
179.9693,22.8,Cu1O1N7H3,179.96949
179.9693,22.8,Cu1O2N4C2H5,179.97085
179.97229,21.7,Cu1O2N4C2H5,179.97085
179.97795,17.0,Cu1O1N6C1H5,179.98208
180.90253,21.6,Cu1O5N1C2,180.90722
180.9271,39.9,Cu1O3N5,180.92968
180.9271,39.9,Cu1O4N2C2H2,180.93104
180.94274,14278.0,Cu1O3N4C1H2,180.94227
180.94274,14278.0,Cu1O4N1C3H4,180.94363
180.9771,24.9,Cu1O1N7H4,180.97732
181.85886,21.9,Cu2O1N2C1,181.86025
181.8701,9.0,Cu2O1N1C2H2,181.87284
181.92551,42.1,Cu1O4N3C1H1,181.92628
181.93594,18.5,Cu1O3N5H1,181.93751
181.93594,18.5,Cu1O4N2C2H3,181.93887
181.93799,28653.0,Cu1O1N3C5H1,181.94155
181.93799,28653.0,Cu1O3N5H1,181.93751
181.93799,28653.0,Cu1O4N2C2H3,181.93887
181.97589,16.6,Cu1O2N5C1H5,181.97392
182.86667,21.6,Cu2O1N2C1H1,182.86808
182.93513,27.6,Cu1O1N4C4,182.93679
182.93513,27.6,Cu1O4N3C1H2,182.93411
182.93858,90.9,Cu1O1N4C4,182.93679
182.93896,12.7,Cu1O1N4C4,182.93679
182.94165,147.5,Cu1O3N5H2,182.94534
182.94731,16.0,Cu1O1N3C5H2,182.94938
182.94731,16.0,Cu1O3N5H2,182.94534
182.94731,16.0,Cu1O4N2C2H4,182.9467
182.95833,19.1,Cu1O3N4C1H4,182.95793
183.92915,20.5,Cu1O2N2C5H1,183.93339
183.92915,20.5,Cu1O4N4H1,183.92935
183.92915,20.5,Cu1O5N1C2H3,183.93071
183.93376,420.5,Cu1O2N2C5H1,183.93339
183.93419,33.9,Cu1O2N2C5H1,183.93339
183.93578,23.6,Cu1O2N2C5H1,183.93339
183.9397,24.3,Cu1O4N3C1H3,183.94194
183.94223,25.1,Cu1O1N4C4H1,183.94462
183.94223,25.1,Cu1O4N3C1H3,183.94194
183.94264,21.5,Cu1O1N4C4H1,183.94462
183.94264,21.5,Cu1O4N3C1H3,183.94194
184.92834,9.5,Cu1O2N3C4,184.92863
184.92834,9.5,Cu1O5N2C1H2,184.92595
185.8526,22.2,Cu2O2N2,185.85516
185.86696,18.5,Cu2O2N1C1H2,185.86775
185.89256,7.7,Cu2O1N2C1H4,185.89157
185.91722,9.8,Cu1O5N3H1,185.92119
185.91939,20.7,Cu1O5N3H1,185.92119
185.94791,21.3,Cu1O1N5C3H1,185.94769
185.94791,21.3,Cu1O2N2C5H3,185.94905
185.94791,21.3,Cu1O5N1C2H5,185.94637
185.97145,18.3,Cu1O1N3C5H5,185.97287
185.97145,18.3,Cu1O3N5H5,185.96883
186.86331,7.7,Cu2O2N2H1,186.86299
186.87242,18.5,Cu2O2N1C1H3,186.87558
186.89951,1083.2,Cu2O1N2C1H5,186.8994
186.91351,25.6,Cu1O6N1C1H2,186.91779
186.91444,19.9,Cu1O6N1C1H2,186.91779
186.92981,507.6,Cu1O2N4C3,186.9317
186.92981,507.6,Cu1O3N1C5H2,186.93306
186.92981,507.6,Cu1O5N3H2,186.92902
186.9323,19.0,Cu1O2N4C3,186.9317
186.9323,19.0,Cu1O3N1C5H2,186.93306
186.93408,25.2,Cu1O2N4C3,186.9317
186.93408,25.2,Cu1O3N1C5H2,186.93306
186.94148,21.6,Cu1O1N6C2,186.94293
186.94148,21.6,Cu1O2N3C4H2,186.94429
186.94148,21.6,Cu1O5N2C1H4,186.94161
186.9464,17.4,Cu1O2N3C4H2,186.94429
186.95573,3806.6,Cu1O1N5C3H2,186.95552
186.95573,3806.6,Cu1O2N2C5H4,186.95688
186.95758,23.3,Cu1O1N5C3H2,186.95552
186.95758,23.3,Cu1O2N2C5H4,186.95688
187.8949,18.4,Cu2O1N3H4,187.89464
187.90218,24.9,Cu1O7C1H1,187.9018
187.92485,18.0,Cu1O3N2C4H1,187.9283
187.92485,18.0,Cu1O6N1C1H3,187.92562
187.93558,28.3,Cu1O2N4C3H1,187.93953
187.93558,28.3,Cu1O5N3H3,187.93685
188.85725,16.7,Cu2O3N1H1,188.85483
188.87541,1133.3,Cu2O2N2H3,188.87865
188.87581,25.1,Cu2O2N2H3,188.87865
188.89011,20.8,Cu2O2N1C1H5,188.89124
188.89795,20.5,Cu1O7N1,188.89704
188.89795,20.5,Cu2O1N3H5,188.90247
188.91818,9.2,Cu1O6N2H2,188.92086
188.93423,21.4,Cu1O2N5C2,188.93477
188.93423,21.4,Cu1O3N2C4H2,188.93613
188.93423,21.4,Cu1O6N1C1H4,188.93345
188.95613,16.4,Cu1O1N6C2H2,188.95859
188.95613,16.4,Cu1O2N3C4H4,188.95995
189.90074,12.7,Cu1O7N1H1,189.90487
189.90116,51.0,Cu1O7N1H1,189.90487
189.90344,19.6,Cu1O7N1H1,189.90487
189.95337,22.6,Cu1O1N7C1H1,189.95383
189.95337,22.6,Cu1O2N4C3H3,189.95519
189.95337,22.6,Cu1O3N1C5H5,189.95655
189.95337,22.6,Cu1O5N3H5,189.95251
189.95535,21.0,Cu1O1N7C1H1,189.95383
189.95535,21.0,Cu1O2N4C3H3,189.95519
189.95535,21.0,Cu1O3N1C5H5,189.95655
190.86916,20.2,Cu2O3N1H3,190.87049
190.87239,73.7,Cu2O3N1H3,190.87049
190.92323,12.1,Cu1O3N4C2,190.92661
190.92323,12.1,Cu1O4N1C4H2,190.92797
190.92619,16.5,Cu1O3N4C2,190.92661
190.92619,16.5,Cu1O4N1C4H2,190.92797
190.93282,120.2,Cu1O6N2H4,190.93652
190.95917,18.1,Cu1O1N7C1H2,190.96166
190.95917,18.1,Cu1O2N4C3H4,190.96302
190.96326,21.7,Cu1O1N7C1H2,190.96166
190.96326,21.7,Cu1O2N4C3H4,190.96302
190.96368,159.6,Cu1O1N7C1H2,190.96166
190.96368,159.6,Cu1O2N4C3H4,190.96302
190.96565,22.2,Cu1O2N4C3H4,190.96302
190.97319,19.6,Cu1O1N6C2H4,190.97425
191.87975,20.0,Cu2O3N1H4,191.87832
191.93765,7.4,Cu1O4N1C4H3,191.9358
191.94278,18.8,Cu1O2N6C1H1,191.94567
191.94278,18.8,Cu1O3N3C3H3,191.94703
191.94278,18.8,Cu1O6N2H5,191.94435
191.9586,8.2,Cu1O1N8H1,191.9569
191.9586,8.2,Cu1O2N5C2H3,191.95826
191.9586,8.2,Cu1O3N2C4H5,191.95962
191.96109,16.3,Cu1O3N2C4H5,191.95962
191.98325,18.4,Cu1O1N6C2H5,191.98208
192.90178,20.2,Cu1O8H2,192.90454
