Formula,m/z
Cu1O1N2C8H15,218.04579
Cu1O4N1C5H17,218.04579
Cu1O2N2C8,218.92438
Cu1O5N1C5H2,218.92438
Cu1O7N2C1H4,218.93204
Cu1O2N1C8H14,219.02976
Cu1O4N1C5H18,219.05095
Cu1O1N1C9H18,219.0662
Cu1O1N1C9H18,219.06795
Cu1O2N1C9H3,219.94568
Cu1O5N1C4H15,220.02255
Cu1O2N2C7H13,220.02506
Cu1O5N1C4H15,220.02506
Cu1O2N1C8H15,220.03786
Cu1O4N2C4H17,220.04628
Cu1O7N1C1H19,220.04628
Cu1O1N2C8H17,220.06142
Cu1O4N1C5H19,220.06142
Cu1O1N2C8H17,220.0625
Cu1O4N1C5H19,220.0625
Cu1O1N1C9H19,220.07788
Cu1O5N2C4H2,220.92392
Cu1O8N1C1H4,220.92392
Cu1O1N1C10H8,220.9893
Cu1O3N1C7H12,221.01235
Cu1O2N1C8H16,221.04549
Cu1O4N1C5H20,221.06657
Cu1O1N1C9H20,221.08184
Cu1O6N1C4H1,221.91115
Cu1O4N2C5H7,221.97029
Cu1O2N2C7H15,222.04068
Cu1O5N1C4H17,222.04068
Cu1O1N2C8H19,222.0771
Cu1O3N1C7H14,223.02484
Cu1O3N1C7H14,223.02561
Cu1O3N1C7H14,223.02822
Cu1O5N2C3H16,223.03625
Cu1O2N1C8H18,223.06108
Cu1O2N1C8H18,223.06446
Cu1O4N2C4H20,223.07236
Cu1O3N2C6H13,224.0197
Cu1O6N1C3H15,224.0197
Cu1O5N2C3H17,224.04111
Cu1O2N2C7H17,224.05635
Cu1O5N1C4H19,224.05635
Cu1O2N1C8H19,224.07165
Cu1O7N1C3,224.89583
Cu1O6N2C3H2,224.9198
Cu1O4N1C6H12,225.00489
Cu1O1N2C9H10,225.00747
Cu1O4N1C6H12,225.00747
Cu1O1N2C9H10,225.0103
Cu1O6N2C2H14,225.01503
Cu1O6N1C3H16,225.02515
Cu1O3N1C7H16,225.04015
Cu1O2N1C8H20,225.07674
Cu1O1N1C11H1,225.93518
Cu1O7N2C1H11,225.98604
Cu1O3N2C6H15,226.03559
Cu1O6N1C3H17,226.03559
Cu1O3N1C7H17,226.0479
Cu1O3N1C7H17,226.04975
Cu1O3N1C7H17,226.05096
Cu1O2N2C7H19,226.072
Cu1O7N1C3H2,226.91013
Cu1O3N1C8H6,226.96262
Cu1O2N2C8H8,226.9868
Cu1O5N1C5H10,226.9868
Cu1O7N2C1H12,226.99561
Cu1O6N2C2H16,227.0289
Cu1O6N2C2H16,227.03033
Cu1O1N1C10H14,227.03486
Cu1O3N1C7H18,227.05604
Cu1O4N2C6H1,227.92085
Cu1O7N1C3H3,227.92085
Cu1O6N2C3H5,227.94185
Cu1O6N1C4H7,227.95438
Cu1O1N2C9H13,228.03011
Cu1O4N1C6H15,228.03011
Cu1O3N2C6H17,228.05124
Cu1O6N1C3H19,228.05124
Cu1O3N1C7H19,228.06647
Cu1O2N1C10,228.9202
Cu1O1N2C10H2,228.94548
Cu1O3N2C7H6,228.96642
Cu1O6N1C4H8,228.96642
Cu1O5N1C5H12,228.99918
Cu1O5N1C5H12,229.00009
Cu1O7N2C1H14,229.00967
Cu1O4N1C6H16,229.03522
Cu1O6N2C2H18,229.04736
Cu1O1N1C10H16,229.05049
Cu1O1N1C10H16,229.05243
Cu1O3N1C7H20,229.07167
Cu1O6N2C3H7,229.95923
Cu1O5N2C4H11,229.99432
Cu1O8N1C1H13,229.99432
Cu1O7N1C2H17,230.02982
Cu1O1N2C9H15,230.04576
Cu1O4N1C6H17,230.04576
Cu1O1N1C10H17,230.06166
Cu1O3N2C6H19,230.06892
Cu1O8N1C2H2,230.9071
Cu1O6N2C3H8,230.96785
Cu1O4N1C6H18,231.05095
Cu1O1N1C10H18,231.06619
Cu1O1N1C10H18,231.06962
Cu1O3N2C6H20,231.07736
Cu1O8N1C2H3,231.91435
Cu1O5N1C6H3,231.9304
Cu1O3N1C8H11,232.00313
Cu1O2N2C8H13,232.0256
Cu1O5N1C5H15,232.0256
Cu1O1N2C9H17,232.06129
Cu1O4N1C6H19,232.06129
Cu1O1N1C10H19,232.07616
Cu1O6N1C5,232.89977
Cu1O5N2C4H14,233.02019
Cu1O2N2C8H14,233.03357
Cu1O5N1C5H16,233.03357
Cu1O2N1C9H16,233.04541
Cu1O2N1C9H16,233.04707
Cu1O2N1C9H16,233.04887
Cu1O4N2C5H18,233.05649
Cu1O4N1C6H20,233.06657
Cu1O1N1C10H20,233.08179
Cu1O7N1C3H9,233.9649
Cu1O4N2C6H7,233.97005
Cu1O2N2C8H15,234.04072
Cu1O5N1C5H17,234.04072
Cu1O2N1C9H17,234.05594
Cu1O1N2C9H19,234.0771
Cu1O7N1C3H10,234.97443
Cu1O6N2C3H12,234.99725
Cu1O2N1C9H18,235.06107
Cu1O2N1C9H18,235.06424
Cu1O4N2C5H20,235.07051
Cu1O4N2C5H20,235.07262
Cu1O4N2C5H20,235.0735
Cu1O2N2C9H5,235.96242
Cu1O5N1C6H7,235.96242
Cu1O7N2C2H9,235.9679
Cu1O3N2C7H13,236.01962
Cu1O6N1C4H15,236.01962
Cu1O2N2C8H17,236.05629
Cu1O5N1C5H19,236.05629
Cu1O2N1C9H19,236.07173
Cu1O4N1C8,236.91225
Cu1O6N2C4H2,236.92139
Cu1O1N1C12,236.92856
Cu1O1N2C10H10,237.00728
Cu1O4N1C7H12,237.00728
Cu1O3N1C8H16,237.04035
Cu1O3N1C8H16,237.04377
Cu1O5N2C4H18,237.0511
Cu1O2N2C8H18,237.06432
Cu1O5N1C5H20,237.06432
Cu1O2N1C9H20,237.07677
Cu1O2N1C9H20,237.07989
Cu1O8N1C2H9,237.96007
Cu1O3N2C7H15,238.03552
Cu1O6N1C4H17,238.03552
Cu1O3N1C8H17,238.05084
Cu1O2N2C8H19,238.07201
Cu1O4N2C7,238.91249
Cu1O7N1C4H2,238.91249
Cu1O4N1C8H2,238.92685
Cu1O1N2C11,238.9294
Cu1O4N1C8H2,238.9294
Cu1O3N1C9H6,238.96284
Cu1O7N1C3H14,239.00533
Cu1O1N2C10H12,239.02302
Cu1O4N1C7H14,239.02302
Cu1O1N2C10H12,239.02434
Cu1O6N2C3H16,239.03118
Cu1O1N1C11H14,239.03494
Cu1O1N1C11H14,239.03694
Cu1O3N2C7H16,239.04637
Cu1O3N1C8H18,239.05603
Cu1O3N1C8H18,239.05954
Cu1O5N2C4H20,239.06745
Cu1O3N2C8H5,239.96057
Cu1O3N1C9H7,239.97055
Cu1O2N2C9H9,239.99323
Cu1O5N1C6H11,239.99323
Cu1O2N2C9H9,239.99649
Cu1O7N2C2H13,240.00145
Cu1O4N2C6H13,240.01482
Cu1O7N1C3H15,240.01482
Cu1O4N2C6H13,240.01888
Cu1O1N2C10H13,240.03
Cu1O4N1C7H15,240.03
Cu1O3N2C7H17,240.05124
Cu1O6N1C4H19,240.05124
Cu1O3N2C7H17,240.05475
Cu1O3N1C8H19,240.06331
Cu1O3N1C8H19,240.06505
Cu1O3N1C8H19,240.06649
